"Position","AARAMINPOIKA Juhani"
1,"AATAMINPOIKA Juhani"
2,"BARRETT Jerome Sydney"
3,"BROWN Derek"
4,"CHASE Richard Trenton"
5,"DOWNS William Ernest Jr."
6,"DUMA Sibusiso Derrick"
7,"DUNKLE Jon Scott"
8,"GEIN Edward Theodore"
9,"HEATH Neville George Clevely"
10,"Jack the Ripper"
11,"KEMPER Edmund Emil III"
12,"MATTA Chander"
13,"MQOMBOYI Zola Jackson"
14,"OVERTON Richard K"
15,"ROLLING Daniel Harold"
16,"SCOULAR Iain"
17,"SHAWCROSS Arthur John"
18,"SIPALO Milton Mufungulwa"
19,"SMITH Randall Lee"
20,"SPECK Richard Benjamin"
21,"TOOLE Ottis Elwood"
22,"VILLANUEVA Alex"
